mess,コータロ,『よ～し、そろそろやるかぁ！頑張れよ、ユーカリ！』,135801/fkg_135801_hscene201
mess,,まるで性器を愛撫しているかのような反応。\nパペットに守られていたユーカリの手は、\n快感と合わさりひどく敏感になっていた。,
mess,,悶え蕩ける艶姿にこちらも限界が近づいてくる。,
mess,ユーカリ,「今度も、一緒にイこうね……団長さん♪」,135801/fkg_135801_hscene230
mess,,うっとりと微笑んでくれるユーカリに、笑みを返す。\n彼女の膣内もまた、切なげな緊縮でよどみを求めてくれていた。,
mess,ユーカリ,「気持ちよく、イッてね、団長、さん♪\nわたしも、すぐに……んっ、んんっ」,135801/fkg_135801_hscene231
mess,ユーカリ,「優しく、気持ちよくしてくれて……っ、すごいの来ちゃうから\nはぁ、あぁぁっ、一緒に、イケるからぁ」,135801/fkg_135801_hscene232
mess,,迫る予兆に、掌を強く握り合う。\nタイミングを合わせ、互いの絶頂を引き寄せていった。,
mess,ユーカリ,「あぁっ、来るよぉ、来ちゃうよぉ……っ\n団長さん、団長、さん……っ、あっ、あぁっ、あん、んぅぅぅぅっ」,135801/fkg_135801_hscene233
effect,5,,
effect,4,,
image,hscene_r18/r18_135801_101,,
effect,3,,
mess,ユーカリ,「ふぅぅっ、んんっ、んんんんんんん……っ」,135801/fkg_135801_hscene234
mess,,手をギュッと握り締め、ユーカリが絶頂へと達する。\nその奥底へと、白い精液を弾き出していった。,
mess,ユーカリ,「んぅぅっ、おちんちん、すごいよぉ……っ\nびくびく、たくさんして……わたしの中、いっぱいにしてるぅっ」,135801/fkg_135801_hscene235
mess,ユーカリ,「熱い、けど……あったかぁい\nこんな安心するの、わたしはじめて、だよぉ……」,135801/fkg_135801_hscene236
mess,,両手を握り合い、一番深い場所で互いの余韻に沈んでいく。,
mess,,穏やかに呼吸を整え、視線を合わせ続ける。\n伝えてくれる幸福感に、逸らすなど出来るはずもなかった。,
mess,ユーカリ,「……だんちょう、さん」,135801/fkg_135801_hscene237
mess,,ユーカリが力のない声で呼んでくれる。\n次第にとろんとしていく瞳が、\n彼女の今の状態を如実に教えてくれた。,
mess,,故に、笑みを浮かべ、手の甲に口づけをする。\n自分でドキドキとしてくれた結果ならば、嬉しいことこの上ない。,
mess,ユーカリ,「ありがとぉ……だい、すきぃ」,135801/fkg_135801_hscene238
mess,,ユーカリが、眠りへと落ちる。,
mess,,届く寝息は緩やかで安心感に満ちたもの。\n緊張で出来なかった昼寝そのままに、\n穏やかな日向のような寝顔を浮かべていた。,
mess,,けれど、握ってくれる両手が離れることはない。\nこちらをよすがとするように、しっかりと握り続けてくれていた。,
mess,ユーカリ,「コータロぉ、ソータぁ、わたし、がんばったよぉ……」,135801/fkg_135801_hscene239
mess,ユーカリ,「じぶんだけで、だんちょうさんに……\nだいすきって、いえたぁ……えへ、えへへへ～♪」,135801/fkg_135801_hscene240
effect,6,,
