mess,メコノプシス,「私、団長様を支えられるようになりたいの」,	136905/fkg_136905_hscene201,
mess,メコノプシス,「胸の奥で、団長様を好きな気持ち、大きくなってるの……\nオマンコも、きゅぅーって……オチンチン締め付けて、離さない……っ」,	136905/fkg_136905_hscene217,
mess,,メコノプシスは嬉しそうに微笑みながら、徐々に快感に呑み込まれていく。\n熱に潤んだ瞳を浮かべ、積極的な腰づかいを繰り返していった。,	
mess,メコノプシス,「あぁあっ……んぅぅっ、ひゃぅうっ……お腹の中、さっきより、擦れる……んぁあ！\nオチンチンに、ピッタリくっついたまま、ゴシゴシするの……私も感じちゃう……！」,	136905/fkg_136905_hscene218,
mess,メコノプシス,「団長様の、すごく大きいから……ああっ、んんっ、ぁああ……っ！\nこれ、気持ちいい……！はぁ、ああ！ダメ……っ、これじゃあ、私、私……！」,	136905/fkg_136905_hscene219,
mess,,強まった快感に、メコノプシスの動きが僅かに鈍る。\nペースを落とさないよう腰に力を入れるが、\n結合部から伝わる甘美な刺激によって速度の維持は難しそうだった。,	
mess,,ならば、後はこちらが引き継いで動くべきだろう。\nその考えに至ると同時に、下から陰茎を突き上げていった。,	
mess,メコノプシス,「ひゃぅうん……！そんなっ……ぁあっ、ああっ、あぅうっ、んぅうん！\n今、オチンチン、激しくされたら……ふぁあっ、ああぁっ、んぁああ……！」,	136905/fkg_136905_hscene220,
mess,メコノプシス,「私、団長様に……ご奉仕できなくなっちゃう！あぁああ！\nちゃんと最後まで、気持ちよくしたいのに！\n待って、団長様ぁ！オチンチン、突くの、待ってぇ！」,	136905/fkg_136905_hscene221,
mess,,こちらもメコノプシスに奉仕をさせてほしい。\n十分に甘い刺激を与えてもらったお礼として、\n蕩けた彼女の膣内を滾る陰茎で擦り上げていく。,	
mess,,お互いの昂ぶりを高め合い、同時に絶頂を迎えるため、\n激しくメコノプシスを愛し続けた。,	
mess,メコノプシス,「はぁあっ、あぁっ、んぅうっ、オマンコ、もう、イクッ！んぅう！\n奥まで硬いの、ズンズン突かれて……イッちゃう、あぅうっ！」,	136905/fkg_136905_hscene222,
mess,メコノプシス,「頭の中、団長様で、いっぱいに、ひゃぅうっ、あぁあっ、んぁあんっ……！\nこの前より、すごいの、あぁっ、ふぁあっ、ひゃうっ！\nオマンコにくるっ、きちゃうの……っ！」,	136905/fkg_136905_hscene223,
mess,,こちらの陰茎も戦慄き始めた。\nいつ熱の塊が噴き上がってもおかしくない状態だ。\n最後の瞬間に昇り詰めるまで、\n限界まで張りつめて震える肉棒を突いていく。,	
mess,メコノプシス,「ひゃぅうんっ！オチンチン、ビクビクって……団長様もイキそうっ！？\n精液、どぴゅっどぴゅって……もう出ちゃいそうなのね……っ！？」,	136905/fkg_136905_hscene224,
mess,メコノプシス,「いいの……っ！出して、中に熱いのほしいっ！\n全部オマンコに出して……っ！濃い精液、子宮に飲ませてっ……！」,	136905/fkg_136905_hscene225,
mess,メコノプシス,「熱いの、奥に感じてイキたいから……！\n団長様と一緒に、あぁあっ、ぁあっ、イクぅッ、んはぁああ、イッちゃう……っ！\nイックぅぅぅぅうううううううう……っ！！」,	136905/fkg_136905_hscene226,
effect,5,,	
effect,4,,	
image,hscene_r18/r18_136905_101,,	
effect,3,,	
mess,メコノプシス,「ひゃぅうううん……んぁああああ……精液、すごく熱い……\n子宮にどぴゅっどぴゅって……たくさん……ぁうううううう……」,	136905/fkg_136905_hscene227,
mess,メコノプシス,「オマンコ、団長様の白いので、いっぱいにされて……イッちゃったのぉ……」,	136905/fkg_136905_hscene228,
mess,,絶頂に身体を震わせ、メコノプシスは射精を受け止めていった。\n戦慄く陰茎に絡みつく膣肉の緊縮に、\n溜め込んだ精液が全て搾り取られていく。,	
mess,,射精後の心地いい気だるさに包まれながら身体を休めていると、\n蕩けた瞳でこちらを見つめるメコノプシスと目が合った。,	
mess,メコノプシス,「団長様に激しくされて……頭、真っ白になっちゃった……」,	136905/fkg_136905_hscene229,
mess,メコノプシス,「次は、最後まで気持ちよくしてあげる……\n私が、団長様を満足させてみせるから……！」,	136905/fkg_136905_hscene230,
mess,,強く意気込むメコノプシス。\nこちらを想う彼女の気持ちが伝わり、より愛情が高まった。,	
effect,6,,	
